code,name,year,cup_host,PJ,PG,PE,PP,GF,GC
col,Colombia,1957,Perú,6,2,0,4,10,25
ecu,Ecuador,1957,Perú,6,0,1,5,7,23
per,Perú,1957,Perú,6,4,0,2,12,9
uru,Uruguay,1957,Perú,6,4,0,2,15,12
arg,Argentina,1959,Argentina,10,7,2,1,28,14
bol,Bolivia,1959,Argentina,6,0,1,5,4,23
bra,Brasil,1959,Argentina,10,6,2,2,24,17
chi,Chile,1959,Argentina,6,2,1,3,9,14
ecu,Ecuador,1959,Argentina,4,1,1,2,5,9
par,Paraguay,1959,Argentina,10,3,1,6,18,23
per,Perú,1959,Argentina,6,1,3,2,10,11
uru,Uruguay,1959,Argentina,10,5,1,4,28,15
arg,Argentina,1963,Bolivia,6,3,1,2,15,10
bol,Bolivia,1963,Bolivia,6,5,1,0,19,13
bra,Brasil,1963,Bolivia,6,2,1,3,12,13
col,Colombia,1963,Bolivia,6,0,1,5,10,19
ecu,Ecuador,1963,Bolivia,6,1,2,3,14,18
par,Paraguay,1963,Bolivia,6,4,1,1,13,7
per,Perú,1963,Bolivia,6,2,1,3,8,11
arg,Argentina,1967,Uruguay,5,4,0,1,12,3
bol,Bolivia,1967,Uruguay,5,0,1,4,0,9
chi,Chile,1967,Uruguay,5,2,2,1,8,6
par,Paraguay,1967,Uruguay,5,2,0,3,9,13
uru,Uruguay,1967,Uruguay,5,4,1,0,13,2
ven,Venezuela,1967,Uruguay,5,1,0,4,7,16
arg,Argentina,1975,Varias,4,2,0,2,17,4
bol,Bolivia,1975,Varias,4,1,0,3,3,9
bra,Brasil,1975,Varias,6,5,0,1,16,4
chi,Chile,1975,Varias,4,1,1,2,7,6
col,Colombia,1975,Varias,9,6,0,3,11,5
ecu,Ecuador,1975,Varias,4,0,1,3,4,10
par,Paraguay,1975,Varias,4,1,1,2,5,5
per,Perú,1975,Varias,9,6,1,2,14,7
uru,Uruguay,1975,Varias,2,1,0,1,1,3
ven,Venezuela,1975,Varias,4,0,0,4,1,26
arg,Argentina,1979,Varias,4,1,1,2,7,6
bol,Bolivia,1979,Varias,4,2,0,2,4,7
bra,Brasil,1979,Varias,6,2,2,2,10,9
chi,Chile,1979,Varias,9,4,3,2,13,6
col,Colombia,1979,Varias,4,2,1,1,5,2
ecu,Ecuador,1979,Varias,4,1,0,3,4,7
par,Paraguay,1979,Varias,9,4,4,1,13,7
per,Perú,1979,Varias,2,0,1,1,1,2
uru,Uruguay,1979,Varias,4,1,2,1,5,5
ven,Venezuela,1979,Varias,4,0,2,2,1,12
arg,Argentina,1983,Varias,4,1,3,0,5,4
bol,Bolivia,1983,Varias,4,0,2,2,4,6
bra,Brasil,1983,Varias,8,2,4,2,8,5
chi,Chile,1983,Varias,4,2,1,1,8,2
col,Colombia,1983,Varias,4,1,2,1,5,5
ecu,Ecuador,1983,Varias,4,0,2,2,4,10
par,Paraguay,1983,Varias,2,0,2,0,1,1
per,Perú,1983,Varias,6,2,3,1,7,6
uru,Uruguay,1983,Varias,8,5,2,1,12,6
ven,Venezuela,1983,Varias,4,0,1,3,1,10
arg,Argentina,1987,Argentina,4,1,1,2,5,4
bol,Bolivia,1987,Argentina,2,0,1,1,0,2
bra,Brasil,1987,Argentina,2,1,0,1,5,4
chi,Chile,1987,Argentina,4,3,0,1,9,3
col,Colombia,1987,Argentina,4,3,0,1,8,3
ecu,Ecuador,1987,Argentina,2,0,1,1,1,4
par,Paraguay,1987,Argentina,2,0,1,1,0,3
per,Perú,1987,Argentina,2,0,2,0,2,2
uru,Uruguay,1987,Argentina,2,2,0,0,2,0
ven,Venezuela,1987,Argentina,2,0,0,2,1,8
arg,Argentina,1989,Brasil,7,2,3,2,2,4
bol,Bolivia,1989,Brasil,4,0,2,2,0,8
bra,Brasil,1989,Brasil,7,5,2,0,11,1
chi,Chile,1989,Brasil,4,2,0,2,7,5
col,Colombia,1989,Brasil,4,1,2,1,5,4
ecu,Ecuador,1989,Brasil,4,1,2,1,2,2
par,Paraguay,1989,Brasil,7,3,1,3,9,10
per,Perú,1989,Brasil,4,0,3,1,4,7
uru,Uruguay,1989,Brasil,7,4,0,3,11,3
ven,Venezuela,1989,Brasil,4,0,1,3,4,11
arg,Argentina,1991,Chile,7,6,1,0,16,6
bol,Bolivia,1991,Chile,4,0,2,2,2,7
bra,Brasil,1991,Chile,7,4,1,2,12,8
chi,Chile,1991,Chile,7,3,2,2,11,6
col,Colombia,1991,Chile,7,2,2,3,5,6
ecu,Ecuador,1991,Chile,4,1,1,2,6,5
par,Paraguay,1991,Chile,4,2,0,2,7,8
per,Perú,1991,Chile,4,1,0,3,9,9
uru,Uruguay,1991,Chile,4,1,3,0,4,3
ven,Venezuela,1991,Chile,4,0,0,4,1,15
arg,Argentina,1993,Ecuador,6,2,4,0,6,4
bol,Bolivia,1993,Ecuador,3,0,2,1,1,2
bra,Brasil,1993,Ecuador,4,1,2,1,6,4
chi,Chile,1993,Ecuador,3,1,0,2,3,4
col,Colombia,1993,Ecuador,6,2,4,0,6,4
ecu,Ecuador,1993,Ecuador,6,4,0,2,13,5
par,Paraguay,1993,Ecuador,4,1,1,2,2,7
per,Perú,1993,Ecuador,4,1,2,1,4,5
uru,Uruguay,1993,Ecuador,4,1,2,1,5,5
ven,Venezuela,1993,Ecuador,3,0,2,1,6,11
mex,México,1993,Ecuador,6,2,2,2,9,7
usa,EE.UU.,1993,Ecuador,3,0,1,2,3,6
arg,Argentina,1995,Uruguay,4,2,1,1,8,6
bol,Bolivia,1995,Uruguay,4,1,1,2,5,6
bra,Brasil,1995,Uruguay,6,4,2,0,10,3
chi,Chile,1995,Uruguay,3,0,1,2,3,8
col,Colombia,1995,Uruguay,6,2,2,2,7,8
ecu,Ecuador,1995,Uruguay,3,1,0,2,2,3
par,Paraguay,1995,Uruguay,4,2,1,1,6,5
per,Perú,1995,Uruguay,3,0,1,2,2,5
uru,Uruguay,1995,Uruguay,6,4,2,0,11,4
ven,Venezuela,1995,Uruguay,3,0,0,3,4,10
mex,México,1995,Uruguay,4,1,2,1,5,4
usa,EE.UU.,1995,Uruguay,6,2,1,3,6,7
arg,Argentina,1997,Bolivia,4,1,2,1,4,3
bol,Bolivia,1997,Bolivia,6,5,0,1,10,5
bra,Brasil,1997,Bolivia,6,6,0,0,22,3
chi,Chile,1997,Bolivia,3,0,0,3,1,5
col,Colombia,1997,Bolivia,4,1,0,3,6,7
ecu,Ecuador,1997,Bolivia,4,2,2,0,5,2
par,Paraguay,1997,Bolivia,4,1,1,2,2,5
per,Perú,1997,Bolivia,6,3,0,3,5,11
uru,Uruguay,1997,Bolivia,3,1,0,2,2,2
ven,Venezuela,1997,Bolivia,3,0,0,3,0,5
cri,Costa Rica,1997,Bolivia,3,0,1,2,2,10
mex,México,1997,Bolivia,6,2,2,2,8,9
arg,Argentina,1999,Paraguay,4,2,0,2,6,6
bol,Bolivia,1999,Paraguay,3,0,2,1,1,2
bra,Brasil,1999,Paraguay,6,6,0,0,17,2
chi,Chile,1999,Paraguay,6,2,1,3,8,7
col,Colombia,1999,Paraguay,4,3,0,1,8,4
ecu,Ecuador,1999,Paraguay,3,0,0,3,3,7
par,Paraguay,1999,Paraguay,4,2,2,0,6,1
per,Perú,1999,Paraguay,4,2,1,1,7,6
uru,Uruguay,1999,Paraguay,6,1,2,3,4,9
ven,Venezuela,1999,Paraguay,3,0,0,3,1,13
jap,JapÌ_n,1999,Paraguay,3,0,1,2,3,8
mex,México,1999,Paraguay,6,3,1,2,10,9
bol,Bolivia,2001,Colombia,3,0,0,3,0,7
bra,Brasil,2001,Colombia,4,2,0,2,5,4
chi,Chile,2001,Colombia,4,2,0,2,5,5
col,Colombia,2001,Colombia,6,6,0,0,11,0
ecu,Ecuador,2001,Colombia,3,1,0,2,5,5
par,Paraguay,2001,Colombia,3,0,2,1,4,6
per,Perú,2001,Colombia,4,1,1,2,4,8
uru,Uruguay,2001,Colombia,6,2,2,2,7,7
ven,Venezuela,2001,Colombia,3,0,0,3,0,7
cri,Costa Rica,2001,Colombia,4,2,1,1,7,3
hon,Honduras,2001,Colombia,6,3,1,2,7,5
mex,México,2001,Colombia,6,3,1,2,5,3
arg,Argentina,2004,Perú,6,4,1,1,16,6
bol,Bolivia,2004,Perú,3,0,2,1,3,4
bra,Brasil,2004,Perú,6,3,2,1,13,6
chi,Chile,2004,Perú,3,0,1,2,2,4
col,Colombia,2004,Perú,6,3,1,2,7,7
ecu,Ecuador,2004,Perú,3,0,0,3,3,10
par,Paraguay,2004,Perú,4,2,1,1,5,5
per,Perú,2004,Perú,4,1,2,1,7,6
uru,Uruguay,2004,Perú,6,3,2,1,12,10
ven,Venezuela,2004,Perú,3,0,1,2,2,5
cri,Costa Rica,2004,Perú,4,1,0,3,3,8
mex,México,2004,Perú,4,2,1,1,5,7
arg,Argentina,2007,Venezuela,6,5,0,1,16,6
bol,Bolivia,2007,Venezuela,3,0,2,1,4,5
bra,Brasil,2007,Venezuela,6,4,1,1,15,5
chi,Chile,2007,Venezuela,4,1,1,2,4,11
col,Colombia,2007,Venezuela,3,1,0,2,3,9
ecu,Ecuador,2007,Venezuela,3,0,0,3,3,6
par,Paraguay,2007,Venezuela,4,2,0,2,8,8
per,Perú,2007,Venezuela,4,1,1,2,5,8
uru,Uruguay,2007,Venezuela,6,2,2,2,8,9
ven,Venezuela,2007,Venezuela,4,1,2,1,5,6
mex,México,2007,Venezuela,6,4,1,1,13,5
usa,EE.UU.,2007,Venezuela,3,0,0,3,2,8
arg,Argentina,2011,Argentina,4,1,3,0,5,2
bol,Bolivia,2011,Argentina,3,0,1,2,1,5
bra,Brasil,2011,Argentina,4,1,3,0,6,4
chi,Chile,2011,Argentina,4,2,1,1,5,4
col,Colombia,2011,Argentina,4,2,1,1,3,2
ecu,Ecuador,2011,Argentina,3,0,1,2,2,5
par,Paraguay,2011,Argentina,6,0,5,1,5,8
per,Perú,2011,Argentina,6,3,1,2,8,5
uru,Uruguay,2011,Argentina,6,3,3,0,9,3
ven,Venezuela,2011,Argentina,6,2,3,1,7,8
cri,Costa Rica,2011,Argentina,3,1,0,2,2,4
mex,México,2011,Argentina,3,0,0,3,1,4
arg,Argentina,2015,Chile,6,3,3,0,10,3
bol,Bolivia,2015,Chile,4,1,1,2,4,10
bra,Brasil,2015,Chile,4,2,1,1,5,4
chi,Chile,2015,Chile,6,4,2,0,13,4
col,Colombia,2015,Chile,4,1,2,1,1,1
ecu,Ecuador,2015,Chile,3,0,0,3,3,7
par,Paraguay,2015,Chile,6,1,3,2,6,12
per,Perú,2015,Chile,6,3,1,2,8,5
uru,Uruguay,2015,Chile,6,1,1,4,2,5
ven,Venezuela,2015,Chile,3,1,0,2,2,3
mex,México,2015,Chile,3,1,2,0,5,4
jam,Jamaica,2015,Chile,3,0,0,3,0,3
